"PY" "paper"
"783" 2007 "hkb"
"784" 2005 "hkb"
"785" 2003 "hkb"
"786" 2005 "hkb"
"787" 2010 "hkb"
"788" 2005 "hkb"
"789" 1993 "hkb"
"790" 1995 "hkb"
"791" 2002 "hkb"
"792" 2009 "hkb"
"793" 2012 "hkb"
"794" 2011 "hkb"
"795" 2004 "hkb"
"796" 2000 "hkb"
"797" 1999 "hkb"
"798" 2000 "hkb"
"799" 2010 "hkb"
"800" 2013 "hkb"
"801" 1987 "hkb"
"802" 1999 "hkb"
"803" 2013 "hkb"
"804" 2000 "hkb"
"805" 2008 "hkb"
"806" 1986 "hkb"
"807" 2006 "hkb"
"808" 2012 "hkb"
"809" 2010 "hkb"
"810" 1986 "hkb"
"811" 2002 "hkb"
"812" 2005 "hkb"
"813" 1992 "hkb"
"814" 2011 "hkb"
"815" 1995 "hkb"
"816" 2008 "hkb"
"817" 2011 "hkb"
"818" 2007 "hkb"
"819" 2007 "hkb"
"820" 2001 "hkb"
"821" 2014 "hkb"
"822" 2014 "hkb"
"823" 2014 "hkb"
"824" 2010 "hkb"
"825" 2007 "hkb"
"826" 2005 "hkb"
"827" 2009 "hkb"
"828" 1990 "hkb"
"829" 1995 "hkb"
"830" 1999 "hkb"
"831" 1998 "hkb"
"832" 2004 "hkb"
"833" 1992 "hkb"
"834" 2011 "hkb"
"835" 2012 "hkb"
"836" 1988 "hkb"
"837" 1996 "hkb"
"838" 2010 "hkb"
"839" 2008 "hkb"
"840" 2002 "hkb"
"841" 2014 "hkb"
"842" 1993 "hkb"
"843" 2001 "hkb"
"844" 2016 "hkb"
"845" 2010 "hkb"
"846" 2016 "hkb"
"847" 2002 "hkb"
"848" 2004 "hkb"
"849" 2015 "hkb"
"850" 1987 "hkb"
"851" 2004 "hkb"
"852" 1999 "hkb"
"853" 2008 "hkb"
"854" 1991 "hkb"
"855" 1999 "hkb"
"856" 2016 "hkb"
"857" 2012 "hkb"
"858" 1998 "hkb"
"859" 2014 "hkb"
"860" 2010 "hkb"
"861" 2012 "hkb"
"862" 2012 "hkb"
"863" 2014 "hkb"
"864" 2008 "hkb"
"865" 2016 "hkb"
"866" 1997 "hkb"
"867" 2007 "hkb"
"868" 2010 "hkb"
"869" 2001 "hkb"
"870" 2010 "hkb"
"871" 2002 "hkb"
"872" 2005 "hkb"
"873" 1999 "hkb"
"874" 2002 "hkb"
"875" 2001 "hkb"
"876" 2009 "hkb"
"877" 2005 "hkb"
"878" 1994 "hkb"
"879" 2016 "hkb"
"880" 1997 "hkb"
"881" 2003 "hkb"
"882" 2009 "hkb"
"883" 2013 "hkb"
"884" 2016 "hkb"
"885" 1988 "hkb"
"886" 1992 "hkb"
"887" 2003 "hkb"
"888" 2003 "hkb"
"889" 2014 "hkb"
"890" 2008 "hkb"
"891" 2014 "hkb"
"892" 2012 "hkb"
"893" 2012 "hkb"
"894" 2014 "hkb"
"895" 2004 "hkb"
"896" 1995 "hkb"
"897" 2002 "hkb"
"898" 2016 "hkb"
"899" 2012 "hkb"
"900" 2016 "hkb"
"901" 2011 "hkb"
"902" 1996 "hkb"
"903" 2008 "hkb"
"904" 2007 "hkb"
"905" 1998 "hkb"
"906" 2014 "hkb"
"907" 2004 "hkb"
"908" 2014 "hkb"
"909" 2013 "hkb"
"910" 2013 "hkb"
"911" 2002 "hkb"
"912" 2012 "hkb"
"913" 2012 "hkb"
"914" 2011 "hkb"
"915" 2011 "hkb"
"916" 2001 "hkb"
"917" 2006 "hkb"
"918" 2002 "hkb"
"919" 2012 "hkb"
"920" 1996 "hkb"
"921" 1997 "hkb"
"922" 2015 "hkb"
"923" 2004 "hkb"
"924" 2013 "hkb"
"925" 2010 "hkb"
"926" 2013 "hkb"
"927" 2007 "hkb"
"928" 2010 "hkb"
"929" 1996 "hkb"
"930" 2001 "hkb"
"931" 2002 "hkb"
"932" 2016 "hkb"
"933" 2010 "hkb"
"934" 1996 "hkb"
"935" 2008 "hkb"
"936" 2007 "hkb"
"937" 2004 "hkb"
"938" 2010 "hkb"
